,county name,pop_density,mean_PRE,sd_PRE,mean_POST,sd_POST
1939,"Johnston, North Carolina, US",213.4,0.12206803207423442,0.08422436369941036,0.0638532029707488,0.04224422341454336
1940,"Jones, North Carolina, US",21.6,0.0,0.0,0.0,0.0
1941,"Lee, North Carolina, US",227.0,0.0,0.0,0.0,0.0
1942,"Lenoir, North Carolina, US",148.5,0.0,0.0,0.0,0.0
1943,"Lincoln, North Carolina, US",262.7,0.0,0.0,0.0,0.0
1944,"McDowell, North Carolina, US",102.1,0.0,0.0,0.0,0.0
1945,"Macon, North Carolina, US",65.8,0.0,0.0,0.0,0.0
1946,"Madison, North Carolina, US",46.2,0.0,0.0,0.0,0.0
1947,"Martin, North Carolina, US",53.1,0.0,0.0,0.0,0.0
1948,"Mecklenburg, North Carolina, US",1755.5,0.19804205158855578,0.15546897992854244,0.1373265360835137,0.0759181156282497
1949,"Mitchell, North Carolina, US",70.4,0.0,0.0,0.0,0.0
1950,"Montgomery, North Carolina, US",56.5,0.0,0.0,0.0,0.0
1951,"Moore, North Carolina, US",126.5,0.0,0.0,0.08664339756999315,0.08664339756999313
1952,"Nash, North Carolina, US",177.3,0.0,0.0,0.0,0.0
1953,"New Hanover, North Carolina, US",1058.1,0.0,0.0,0.0,0.0
1954,"Northampton, North Carolina, US",41.2,0.0,0.0,0.0,0.0
1955,"Onslow, North Carolina, US",233.1,0.0,0.0,0.0,0.0
1956,"Orange, North Carolina, US",336.2,0.0,0.0,0.23104906018664845,0.23104906018664845
1957,"Pamlico, North Carolina, US",39.1,0.0,0.0,0.0,0.0
1958,"Pasquotank, North Carolina, US",179.2,0.0,0.0,0.0,0.0
1959,"Pender, North Carolina, US",60.0,0.0,0.0,0.0,0.0
1960,"Perquimans, North Carolina, US",54.4,0.0,0.0,0.0,0.0
1961,"Person, North Carolina, US",100.6,0.0,0.0,0.0,0.0
1962,"Pitt, North Carolina, US",257.9,0.0,0.0,0.0,0.0
1963,"Polk, North Carolina, US",86.3,0.0,0.0,0.0,0.0
1964,"Randolph, North Carolina, US",181.1,0.0,0.0,0.08664339756999315,0.08664339756999313
1965,"Richmond, North Carolina, US",98.4,0.0,0.0,0.0,0.0
1966,"Robeson, North Carolina, US",141.3,0.0,0.0,0.0,0.0
1967,"Rockingham, North Carolina, US",165.6,0.0,0.0,0.08664339756999315,0.08664339756999313
